,title,company,description,location,state,salary,jobtype,skill,degree
135,Data Scientist,Trilogy Federal,Identifies and integrates external data sets with internal data elements for analysis to understand underlying patterns and trends.,"Washington, DC",DC,,,,
136,Data Scientist,eMindful,"Bring structure to large quantities of data - turn unstructured data into structured data.   BACHELOR  ’s  MASTER ’s degree in computer science, math, economics or…","Orlando, FL",FL,"$90,000 - $120,000 a year",,,"BACHELOR,MASTER"
137,Data Scientist,"ProSource360 Consulting Services, Inc.",A PUMS will allow data users to create customized estimates and tables that are not available through pre-tabulated data products.,"Alexandria, VA",VA,,,,
138,Data Analyst,Booz Allen Hamilton,The problem facing the Intelligence Community (IC) is no longer how to get more data – it’s understanding how to turn massive amounts of data into answers.,"Fort Bragg, NC +1 location",NC,,,,
139,Data Scientist,Indeed,Solid knowledge of data structures and algorithms. Mentor and grow other software engineers and data scientists across teams.,"Washington, DC +5 locations",DC,"$187,000 - $231,000 a year",,,
140,Data Analyst,"Plaid Enterprises, Inc,","Strong analytical skills with the ability to identify data trends. The Sales Forecast Analyst will review data provided by sales representatives, analyzing and…","Norcross, GA",GA,$23 - $28 an hour,,,
141,Data Analyst,CNA,"The DSD provides data science expertise and support to the Department of the Navy and Department of Defense. As part of the Navy’s only dedicated FFRDC, we use…","Arlington, VA",VA,,,,
142,Data Analyst,Pack Health,"3 years of data analysis and/or data science experience in a clinical, industry, academic or life sciences setting. We work hard, have fun, and love what we do.","Birmingham, AL",AL,,,,
143,Data Engineer,Betterview,Building infrastructure to automate data transformations and other data science processes.   BACHELOR  c knowledge of data science fundamentals. WHAT YOU WILL BE DOING.,"New York, NY +1 location",NY,,,,BACHELOR
144,Data Scientist,IAMUS Consulting,Positions support various Department of Defense customers defensive cyber operations missions with big data analytics and capabilities.,"Linthicum Heights, MD",MD,,,,
145,Data Scientist,Solvay,Gather internal or external data and validate data quality. A minimum of 2 years of data science and AI experience. Very good communication skills in English.,"Princeton, NJ",NJ,,,,
146,Data Analyst,COMMUNITY SERVICE SOCIETY OF NEW YORK,"Experience with data science software such as Stata or SPSS is required. Ability to apply rigorous analysis to complex issues, including strong quantitative…","New York, NY",NY,,,,
147,Data Scientist,Noom US,"We offer a generous budget for personal development expenses like training courses, conferences, and books. You'll get three weeks' paid vacation and a flexible…","New York, NY",NY,,,,
148,Data Analyst,Intuit,"Trust & Safety is a fast-paced, high-energy team responsible for assessing emerging fraud patterns and implementing cutting edge data protection and fraud…","New York, NY +4 locations",NY,,,,
149,Data Analyst,Babylist,Understanding of data warehousing and relational data modeling fundamentals. Keen attention to detail and data integrity.,California +1 location,CA,,,,
150,Data Analyst,Ballad Health,Job Details Apply Save Print this job Email a…,"Kingsport, TN +1 location",TN,,,,
151,Data Scientist,Google,"At Google, data drives all of our decision-making. Articulate   BACHELOR  ness questions and use mathematical techniques to arrive at an answer using data.","Mountain View, CA",CA,,,,BACHELOR
152,Data Scientist,US National Cemetery Administration,"This includes formulating, amending, and verifying theoretical, STATISTICSal and empirical models and data from multiple application areas.","Washington, DC",DC,"$103,690 - $159,286 a year",,,
153,Data Analyst,Farmers Insurance Group,Analyzes information using data manipulation and STATISTICSal analysis to evaluate new and existing programs and procedures.,Alabama,AL,"$76,500 a year",,,
154,Data Scientist,DataRobot,4-5+ years of real-world   BACHELOR  ness experience in a data science role. Familiarity with data platform technology integrations.,"Philadelphia, PA +1 location",PA,,,,BACHELOR
155,Data Analyst,Cerebral,"Collaborate with data science, engineering, and   BACHELOR  ness-focused colleagues to inform data and client related decisions, automate data processes, and determine…",Texas,TX,,,,BACHELOR
156,Data Analyst,"Modern Technology Solutions, Inc.","Provide expertise in data science and analysis techniques, including analyzing and optimizing current historical data sets as well as augmenting or extending…","Alexandria, VA",VA,,,,
157,Data Scientist,Plymouth Rock Assurance,"Performs data mining and data cleansing tasks. Solid skills and training in predictive modeling, data mining and other quantitative and research analytics …","Woodbridge, NJ",NJ,,,,
158,Data Engineer,Health Union Llc,"You will champion infrastructure-as-code and test driven development, building out the workings of modern data transformation & data science pipelines.","Philadelphia, PA",PA,,,,
159,Data Scientist,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Associate Data Scientists create VISUALIZATIONs, interactive analytical applications and interpretive artifacts to support   BACHELOR  ness application of data science…","Chicago, IL",IL,,,,BACHELOR
160,Data Analyst,Protagonist,"Strong data skills, with an understanding of how to apply data to communications, marketing, and   BACHELOR  ness strategy problems. Authorized to work in the US.","San Francisco, CA",CA,,,,BACHELOR
161,Data Scientist,4ES Corporation,Present information using data VISUALIZATION techniques. Undertake preprocessing of structured and unstructured data. Combine models through ensemble modeling.,"Atlanta, GA",GA,,,VISUALIZATION,
162,Data Scientist,Whiterock AI,"Knowledge of SPARK, comfortable with larger scale data. Explore new data sources and think of innovative ways to incorporate these into existing and new…","New York, NY",NY,,,,
163,Data Scientist,RADcube,  BACHELOR  c understanding of containerization and image management for data science notebooks. Interprets data and from multiple sources using a variety of analytical…,"Indianapolis, IN",IN,"$40,000 - $70,000 a year",,,BACHELOR
164,Data Analyst,Steady Platform,Help drive a data-first culture where data is understood and leveraged in decision making. Minimum of 2 years experience (4-6 years preferred) performing…,"Atlanta, GA +1 location",GA,,,,
165,Data Scientist,University of Maryland,"Vaccine Protocol The University of Maryland has made the safety of our students, faculty and staff, and our surrounding communities a top priority. As part…","College Park, MD",MD,,,,
166,Data Analyst,City of Philadelphia,"Write SQL queries for reporting, ETL, and general data analysis. Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA",PA,"$70,000 - $80,000 a year",,SQL,
167,Data Analyst,IQVIA,"Developments of test scripts and data sets. Assist in the preparation of effective data flows (i.e. EDC/IXRS systems to IQVIA’s CTMS)Assist in the testing,…","Durham, NC",NC,,,,
168,Data Engineer,MedWatchers Inc,Ability to manage and work with data that involves some complex transformations. Successful applicants will work on data and applications to support pharmacists…,"San Diego, CA",CA,"$80,000 - $120,000 a year",,,
169,Data Scientist,Toyota Connected North America,Perform data analysis and derive meaningful insights from a variety of data sources. We're looking for an Entry Level Data Scientist interested in using data…,"Plano, TX",TX,,,,
170,Data Engineer,PepsiCo,In this role you will have several distinct responsibilities and priorities: Build new technologies and algorithms to optimize   BACHELOR  ness processes Apply…,"New York, NY",NY,,,,BACHELOR
171,Data Scientist,Pivotal Software,"2+ years of work in a data-centric field (data science or data engineering). We emphasize rigor, because data science done right at this stage leads to models…","Washington, DC",DC,,,,
172,Data Analyst,Deloitte,The Data Analyst will join a team responsible for developing advanced analytics products; applying data VISUALIZATION and STATISTICSal programming tools to…,"Alexandria, VA +1 location",VA,,,VISUALIZATION,
173,Data Scientist,Datatron Technologies,Insight into how the operational realities of data science can be better managed and accelerated. Validated multiple forms of structured and unstructured data…,Missouri +2 locations,MO,,,,
